+----------------------------+------+--------+--------+--------------+
|          Country           | GOLD | Silver | bronze | Total Medals |
+----------------------------+------+--------+--------+--------------+
| Japan                      |    4 |      2 |      1 |            7 |
| Australia                  |    4 |      2 |      0 |            6 |
| United States of America   |    3 |      6 |      3 |           12 |
| France                     |    3 |      3 |      2 |            8 |
| Republic of Korea          |    3 |      2 |      1 |            6 |
| People’s Republic of China |    3 |      1 |      2 |            6 |
| Italy                      |    1 |      2 |      3 |            6 |
| Kazakhstan                 |    1 |      0 |      2 |            3 |
| Belgium                    |    1 |      0 |      1 |            2 |
| Germany                    |    1 |      0 |      0 |            1 |
| Hong Kong, China           |    1 |      0 |      0 |            1 |
| Uzbekistan                 |    1 |      0 |      0 |            1 |
| Great Britain              |    0 |      2 |      2 |            4 |
| Brazil                     |    0 |      1 |      2 |            3 |
| Canada                     |    0 |      1 |      1 |            2 |
| Fiji                       |    0 |      1 |      0 |            1 |
| Kosova                     |    0 |      1 |      0 |            1 |
| Mongolia                   |    0 |      1 |      0 |            1 |
| Poland                     |    0 |      1 |      0 |            1 |
| Tunisia                    |    0 |      1 |      0 |            1 |
| Sweden                     |    0 |      0 |      2 |            2 |
| Egypt                      |    0 |      0 |      1 |            1 |
| Spain                      |    0 |      0 |      1 |            1 |
| Hungary                    |    0 |      0 |      1 |            1 |
| India                      |    0 |      0 |      1 |            1 |
| Moldova                    |    0 |      0 |      1 |            1 |
| Mexico                     |    0 |      0 |      1 |            1 |
| South Africa               |    0 |      0 |      1 |            1 |
+----------------------------+------+--------+--------+--------------+
